0,Feature,County,Latitude,Longitude
1,Abbott Park,Cook,41.7208676,-87.6217147
2,Abbott Elementary School,Cook,41.828089,-87.6333844
3,Abraham Lincoln Elementary School,Cook,41.8680873,-87.7958913
4,Acacia Park Cemetery,Cook,41.9539197,-87.8270059
5,Academy of Our Lady (historical),Cook,41.7203117,-87.6556048
6,Academy of Sciences,Cook,41.9186437,-87.6353314
7,Ada Park,Cook,41.6886452,-87.6544928
8,Adams Park,Cook,41.7572566,-87.5989369
9,Adams Park,Cook,41.9166992,-87.6550543
10,Adams School,Cook,41.9003088,-87.8450606
11,Agassiz Elementary School,Cook,41.9339212,-87.6558881
12,Albion Avenue Park,Cook,42.0025317,-87.6570011
13,Alcott Elementary School,Cook,41.9294768,-87.6458876
14,Adler Planetarium,Cook,41.8661444,-87.6067179
15,Aldridge Elementary School,Cook,41.6578124,-87.6069906
16,Volta Elementary School,Cook,41.9714206,-87.7250583
17,Alexian Hospital,Cook,41.9239213,-87.6597769
18,Algonquin Middle School,Cook,42.0302745,-87.9053835
19,Algonquin Woods,Cook,42.0241961,-87.8717318
20,All Saints Polish National Catholic Cemetery,Cook,41.9878383,-87.8539324
21,All Saints Catholic Cemetery and Mausoleum,Cook,42.0622504,-87.8931224
22,All Saints School,Cook,41.6978121,-87.6219919
23,Allen School,Cook,41.8644772,-87.6675533
24,Allison Woods,Cook,42.0994716,-87.8884009
25,Alpine,Cook,41.5864213,-87.8814423
26,Alsip,Cook,41.6689223,-87.7386619
27,Altenheim Home,Cook,41.8764203,-87.8200591
28,Altgeld Gardens,Cook,41.6544791,-87.6019903
29,Altgeld Park,Cook,41.8741992,-87.6919989
30,Altgeld Elementary School,Cook,41.7653115,-87.6581059
31,Thurgood Marshall Middle School,Cook,41.9525318,-87.7206132
32,A F Ames Elementary School,Cook,41.8405872,-87.8195024
33,Amundsen Park,Cook,41.9136427,-87.7789476
34,Andersen Elementary School,Cook,41.9025324,-87.6739435
