0,Feature,County,Latitude,Longitude
1,Risen Christ Catholic School,Hennepin,44.9364277,-93.2578658
2,Blood Run,Lyon,43.4646983,-96.5853224
3,Brown Creek,Emmet,43.3799588,-94.8105409
4,Canoe Creek,Winneshiek,43.3674729,-91.6168122
5,Deer Creek,Mitchell,43.381078,-92.9399182
6,Deer Creek,Winneshiek,43.4707999,-92.0043279
7,Duck Creek,Allamakee,43.47877,-91.51907
8,East Fork Des Moines River,Humboldt,42.6771931,-94.1982949
9,Elliott Creek,Winneshiek,43.4710777,-92.0034945
10,Iowa Lake,Nobles,43.5017072,-95.4569533
11,Iowa Lake State Game Management Area,Osceola,43.4969089,-95.4588935
12,Little Cedar River,Chickasaw,42.9505316,-92.5274064
13,McClelland Slough,Dickinson,43.4982943,-95.0913837
14,Middle Branch Blue Earth River,Faribault,43.5718997,-94.1032935
15,Minnesota Slough,Allamakee,43.4816404,-91.231799
16,Mud Creek,Lyon,43.2813677,-96.2497473
17,North Bear Creek,Winneshiek,43.4483044,-91.6157007
18,Ocheyedan River,Clay,43.1360803,-95.1527728
19,Okamanpeedan Lake,Emmet,43.4962118,-94.5857968
20,Pigpen Slough,Allamakee,43.493029,-91.2487437
21,Pine Creek,Winneshiek,43.408836,-91.897266
22,Rock River,Sioux,43.0827639,-96.4544761
23,Shell Rock River,Black Hawk,42.6341488,-92.5012982
24,Spirit Lake,Dickinson,43.4776049,-95.0956467
25,Tom Creek,Lyon,43.4324719,-96.1650262
26,Upper Iowa River,Allamakee,43.4663629,-91.2337434
27,Upper Mississippi River National Wildlife and Fish Refuge,La Crosse,43.8935238,-91.3014659
28,Wapsipinicon River,Scott,41.72967,-90.31978
29,West Branch Blue Earth River,Faribault,43.5721775,-94.1035712
30,West Fork Little Sioux River,Dickinson,43.4135756,-95.2513873
31,Lime Creek,Winnebago,43.3668994,-93.6202155
32,Okamanpeedan Lake,Emmet,43.5013451,-94.575256
33,Loon Creek,Dickinson,43.508005,-95.101626
34,Little Rock River,Lyon,43.2641384,-96.2465875
35,Altamont Moraine,Kittson,47.8752555,-97.0006334
36,Cedar River,Louisa,41.2830811,-91.3468217
37,Des Moines River,Lee,41.3811553,-91.4223753
38,Little Spirit Lake,Jackson,43.5047619,-95.1281735
39,County Ditch Number 53,Emmet,43.4938454,-94.6988712
40,Drainage Ditch Number 64,Winnebago,43.4941216,-93.8793955
41,Judicial Ditch Number 7,Kossuth,43.4982889,-94.2485769
42,Otter Creek,Lyon,43.3008092,-96.0577994
43,KILR-FM (Estherville),Jackson,43.5899598,-95.093605
44,Redwood Brown Ditch Number One,Brown,44.324683,-94.7849856
45,Collett Creek,Becker,46.7549596,-95.5250384
46,County Ditch Number Fiftyone,Le Sueur,44.3669101,-93.7630117
47,County Ditch Number One Hundred Seven,Renville,44.7516259,-95.2436176
48,County Ditch Number Thirty Eight,Clay,46.9771839,-96.4967375
49,Crowley School,Ramsey,44.9332991,-93.0813291
50,Drietz Lake,Lincoln,44.4987362,-96.2163242
51,Duschee Creek,Fillmore,43.7091309,-91.9846006
52,Five Lake,Becker,46.8818378,-95.7532762
53,Henry X State Wildlife Management Area,Swift,45.3757939,-95.6000367
54,Little Nokasippi River,Crow Wing,46.1835778,-94.3516693
55,Little Partridge River,Todd,46.3449625,-94.96169
56,Moose Creek,Lake of the Woods,48.5191368,-94.5999415
57,North Fork Zumbro River,Wabasha,44.2583,-92.4799056
58,Oxhide Creek,Itasca,47.3252148,-93.1954771
59,Porter Creek,Scott,44.6249631,-93.4846734
60,Richard J Dorer Memorial Hardwood State Forest,Goodhue,44.5235788,-92.4357411
61,Ringo-Nest State Wildlife Management Park a,Kandiyohi,45.2599646,-94.989178
62,Robert E Ney Memorial Park,Wright,45.2574656,-94.0022012
63,Saint Patrick State Wildlife Management Area,Scott,44.588852,-93.4980071
64,South German Park,Brown,44.3116294,-94.4546951
65,South Rothwell Lake,Big Stone,45.4952188,-96.4517707
66,Stormy Creek,Todd,45.998,-95.184
67,Wilson Creek,Cass,46.7038499,-94.4877784
68,Lake Aaron,Douglas,46.0723562,-95.5846703
69,Aas Lake,Otter Tail,46.3032498,-95.9437427
70,Aastad Church,Otter Tail,46.1377376,-96.0842245
71,Aastad State Wildlife Management Area,Otter Tail,46.1463487,-96.0814467
72,Abbey Lake,Becker,46.7591187,-95.8268468
73,Abbie Lake,Wright,45.1632081,-93.9464937
74,Abbott Hospital,Hennepin,44.9655209,-93.2757808
75,Abners Lake,Becker,47.1187694,-95.2643256
76,Abrahamson Lake,Pope,45.7277575,-95.6893913
77,Acacia Cemetery,Stearns,45.4248348,-94.0669857
78,Acacia Park Cemetery,Dakota,44.878162,-93.1700286
79,Academy of Holy Angels,Hennepin,44.8828325,-93.2807167
80,Achman Lake,Stearns,45.6042597,-94.4028229
81,Ackerson Lake,Cass,46.4984374,-94.5291175
82,Acoma Cemetery,McLeod,44.9130098,-94.438589
83,Acoma School,McLeod,44.9227398,-94.4599869
84,Acorn Lake,Becker,46.7453192,-95.7551862
85,Acorn Park,Ramsey,45.0188545,-93.1129982
86,Acton Marsh State Wildlife Management Area,Lac qui Parle,45.1046864,-96.299772
87,Acton State Wildlife Management Area,Meeker,45.0827404,-94.6788852
88,Ada,Norman,47.299689,-96.5153463
89,Adair Avenue School,Hennepin,45.0271869,-93.3568953
90,Adams,Mower,43.5652435,-92.7193503
91,Adams Hill Park,Hennepin,44.8713535,-93.3177254
92,Adams Junior High School,Olmsted,44.0566309,-92.4860119
93,Adams Lake,Isanti,45.6619047,-93.2428044
94,Adams Park,Otter Tail,46.2760707,-96.0642244
95,Adams School,Ramsey,44.9235767,-93.1413311
96,Adams School,Hennepin,44.9635766,-93.2518911
97,Adams Elementary School,Anoka,45.1334563,-93.2909116
98,Adams School,Otter Tail,46.2746818,-96.0783916
99,Adams Valley,Winona,44.1741576,-91.9263159
100,Lake Addie,McLeod,44.7409361,-94.3635155
101,Adickes School,Wright,45.0430187,-93.8580239
102,Adley Creek,Stearns,45.6824651,-94.7697363
103,Lake Adley,Otter Tail,46.1376136,-95.3350673
104,Adney Lake,Crow Wing,46.629881,-94.011098
105,Adrian,Nobles,43.6349663,-95.932797
106,Adrian Cemetery,Nobles,43.6321884,-95.9183522
107,Advent Church,Anoka,45.1746872,-93.3471745
108,Adventist Church,Redwood,44.376627,-94.9280459
109,Aeneas Church,Stevens,45.7380151,-95.7800499
110,Aetna Cemetery,Isanti,45.4283045,-93.1425981
111,Afton,Washington,44.9027452,-92.7835373
112,Afton - Lakeland Elementary School,Washington,44.9423441,-92.7697831
113,Agassiz Pool,Marshall,48.331914,-96.0139065
114,Agassiz School,Hennepin,44.9344095,-93.2860584
115,Agate Bay,Aitkin,46.2949547,-93.5360751
116,Agate Lake,Cass,46.4558461,-94.3708494
117,Agate Lake,Crow Wing,46.4968627,-93.9140993
118,Agnes Lake,Polk,47.743323,-95.7495666
119,Lake Agnes,Douglas,45.8944447,-95.3743622
120,Ahlin Lake,Beltrami,47.8532048,-95.0828221
121,Ainsworth Park,Hennepin,44.9535754,-93.3760616
122,Airport Lake,Winona,44.0717851,-91.7080899
123,Aitkin,Aitkin,46.533013,-93.7102493
124,Aitkin Lake,Aitkin,46.8021768,-93.2903112
125,Alabama Park,Hennepin,44.9474645,-93.3563387
126,Alajoki Cemetery,Wadena,46.7755068,-95.1627952
127,Alamaa Cemetery,Wright,45.1958655,-94.1145005
128,Alaska Lake,Beltrami,47.8026547,-95.1121367
129,Albany,Stearns,45.6299647,-94.5700048
130,North Lake,Stearns,45.6356177,-94.5652134
131,Albert Lake,Blue Earth,44.2118554,-93.8828047
132,Albert Lake,Wright,45.178405,-93.9395044
133,Albert Lake,Douglas,45.942738,-95.761715
134,Albert Lake,Otter Tail,46.5355783,-95.5235368
135,Albert Lea,Freeborn,43.6480127,-93.3682656
136,Albert Lea Lake,Freeborn,43.6380444,-93.3424019
137,Alberta,Stevens,45.573295,-96.0475549
138,Alberta Marsh State Wildlife Management Area,Stevens,45.5080178,-96.0594988
139,Albertson Lake,Becker,46.7176119,-95.6875977
140,Albertson Slough,Wabasha,44.3185773,-92.0635008
141,Albertville,Wright,45.237742,-93.6544085
142,Albion Center,Wright,45.176909,-94.0735899
143,Albion Center School,Wright,45.1952425,-94.0733127
144,Albion Church,Brown,44.1152369,-94.6799783
145,Albion Church,Wright,45.1596864,-94.1241466
146,Albion Lake,Wright,45.2169711,-94.0760146
147,Albrechts Creek,Pine,46.0782777,-92.3790833
148,Alcohol Creek,Hubbard,47.2771774,-94.984734
149,Alcove Lake,Cook,47.9418742,-90.9613545
150,Alden,Freeborn,43.6702334,-93.5760513
151,Alden Cemetery,Freeborn,43.6796778,-93.5835518
152,Alden Park,Hennepin,44.9196863,-93.3946729
153,Aldrich,Wadena,46.3763513,-94.9366889
154,Aldrich Arena,Ramsey,44.9971878,-93.0229949
155,Aldrich Lake,Douglas,45.9559187,-95.5553758
156,Alem Meadow,Cass,46.5894071,-94.6102862
157,Alex Lake,Polk,47.6577375,-95.8100272
158,Alexander Mine,Itasca,47.4241007,-93.0865815
159,Alexander Ramsey State Park,Redwood,44.5513484,-95.1297208
160,Alexandria,Douglas,45.8852397,-95.3775379
161,Lake Alfred,Otter Tail,46.6123002,-96.1883293
162,Alice Lake,Blue Earth,44.1307686,-93.7878709
163,Alice Lake,Pope,45.6444804,-95.260656
164,Alice Lake,Otter Tail,46.5918307,-95.8108631
165,Alice Lake,Beltrami,47.5515632,-94.9219897
166,Alice Park,Ramsey,44.9313546,-93.0985519
167,Lake Alice,Otter Tail,46.2889089,-96.0744303
168,Lake Alice,Hubbard,47.222685,-95.0827824
169,Alida,Clearwater,47.3835673,-95.2347377
170,Alida Cemetery,Clearwater,47.3771703,-95.2355626
171,Alimagnet Lake,Dakota,44.7471682,-93.2494184
172,Alimagnet Park,Dakota,44.7432981,-93.2438322
173,Alkali Lake,Otter Tail,46.1465611,-96.0028935
174,Alkali Lakebed,Sibley,44.5571849,-94.5858176
175,All Saints Cemetery,Dakota,44.6402241,-93.2438125
176,All Saints School,Hennepin,44.9941322,-93.2574472
177,Ahlswede Lake,Scott,44.6855876,-93.6724195
178,Allen Lake,Clearwater,47.1839734,-95.1843476
179,Allen Lake,Mahnomen,47.4652908,-95.7702712
180,Allen State Wildlife Management Area,Big Stone,45.5585738,-96.5808982
181,Alliance Church,Otter Tail,46.3905172,-95.2186415
182,Alliance Mission,Mille Lacs,46.1782923,-93.7549723
183,Lake Allie,Renville,44.8025931,-94.5590406
184,Alma Church,Marshall,48.3113641,-96.6558891
185,Alma City,Waseca,44.0224676,-93.7280037
186,Alma City Cemetery,Waseca,44.0330232,-93.7313372
187,Lake Alma,Pine,45.9989973,-92.4921735
188,Almelund,Chisago,45.49135,-92.7854919
189,Almora,Otter Tail,46.2463507,-95.3655915
190,Almora Lake,Otter Tail,46.2057539,-95.2958826
191,Almora State Wildlife Management Area,Otter Tail,46.2494061,-95.3778141
192,Lake Alott,Morrison,46.2032145,-94.4517415
193,Alpha,Jackson,43.6388459,-94.8708195
194,Alstead Mine,Crow Wing,46.4849637,-94.0072079
195,Alta Vista Cemetery,Lincoln,44.5574569,-96.1533652
196,Altermatt Lake,Brown,44.1989383,-94.8465889
197,Altner Lake,Otter Tail,46.4300615,-96.1462654
198,Altnow Lake,Sibley,44.5986586,-94.1720122
199,Altona State Wildlife Management Area,Pipestone,44.1921908,-96.3280943
200,Altura,Winona,44.0716301,-91.9396022
201,Alvarado,Marshall,48.1941477,-96.9961813
202,Alvig Slough,Kandiyohi,45.2180038,-94.9348223
203,Alvin Lake,Becker,46.8514681,-95.6333517
204,Lake Alvin,Douglas,45.9274459,-95.4031149
205,Alvis Creek,Otter Tail,46.5871824,-95.4439263
206,Alvstad State Wildlife Management Area,Grant,45.9257934,-95.7642152
207,Amber Lake,Martin,43.6071841,-94.4734214
208,Amber Lake Park,Martin,43.6118999,-94.4719176
209,Amboy,Blue Earth,43.8880148,-94.1566258
210,Amelia Lake,Anoka,45.1319146,-93.0523599
211,Amelia Lake,Pope,45.6867788,-95.2902336
212,America Cemetery,Roseau,48.7816415,-95.3788426
213,American Point,Lake of the Woods,49.3669404,-94.9544016
214,Ames School,Mower,43.5430182,-93.0313063
215,Ames School,Ramsey,44.970799,-93.0266057
216,Amherst H Wilder Day Camp Area,Washington,45.1760779,-92.8213216
217,Amiret,Lyon,44.316625,-95.6969587
218,Amiret Cemetery,Lyon,44.3117751,-95.7093117
219,Amo Church,Cottonwood,43.973292,-95.3199969
220,Amos Lake,Douglas,45.923367,-95.661033
221,Anchor Hill,Clearwater,47.1985696,-95.3189115
222,Anderson Cemetery,Cass,46.6446766,-94.492772
223,Anderson Creek,Carlton,46.4807772,-92.4507498
224,Anderson Island,Nicollet,44.3174659,-94.2533007
225,Anderson Lake,Pope,45.4439137,-95.4655551
226,Anderson Lake,Douglas,45.923791,-95.4568889
227,Anderson Lake,Morrison,45.9791687,-94.327127
228,Anderson Lake,Grant,46.0506682,-95.8459104
229,Anderson Lake,Mille Lacs,46.1524404,-93.45011
230,Anderson Lake,Crow Wing,46.456751,-93.856651
231,Anderson Lake,Aitkin,46.4585849,-93.7438285
232,Anderson Lake,Aitkin,46.4771021,-93.7834024
233,Anderson Lake,Aitkin,46.737427,-93.2306661
234,Anderson Lake,Clay,46.8825281,-96.1755298
235,Anderson Lake,Clay,46.9505486,-96.3060126
236,Anderson Lake,Becker,47.0081532,-95.8718318
237,Anderson Lake,Clearwater,47.2951808,-95.4066618
238,Anderson Lake,Clearwater,47.6849276,-95.3251439
239,Anderson Lake,Clearwater,47.7206159,-95.2738735
240,Anderson Lake,Clearwater,47.7738116,-95.4973998
241,Anderson Lake,Pope,45.5237878,-95.3696265
242,Anderson Lake,Pope,45.7182127,-95.6246745
243,Anderson Lake,Otter Tail,46.4573895,-95.9984343
244,Anderson Lakes,Hennepin,44.8438635,-93.4057181
245,Anderson Park,Blue Earth,44.1632998,-93.982177
246,Anderson Park,Goodhue,44.5713563,-92.6032488
247,Anderson School,Washington,45.0480218,-92.9535479
248,Anderson State Wildlife Management Area,Douglas,45.9896827,-95.7517144
249,Andersons Marsh,Jackson,43.5366805,-95.1206811
250,Andover Cemetery,Polk,47.7170863,-96.6411423
251,Andreason Lake,Kittson,48.5983727,-96.8001692
252,Andrew Lake,Kandiyohi,45.3099267,-95.0437661
253,Lake Andrew,Douglas,45.8209189,-95.4220148
254,Andrews Lake,Crow Wing,46.7327581,-93.971601
255,Andrews Lake,Clearwater,47.2238422,-95.4968523
256,Andyville,Mower,43.7238514,-92.9896371
257,Anfinson Lake,Clay,46.8030489,-96.2600636
258,Angle Inlet,Lake of the Woods,49.3452738,-95.062738
259,Angle Inlet School,Lake of the Woods,49.3527737,-95.0810719
260,Angus,Polk,48.081085,-96.7031179
261,Angus Lake,Wright,45.2335757,-93.8971965
262,Lake Anka,Douglas,46.0809077,-95.7320358
263,Ankeewinsee Lake,Beltrami,47.8142395,-95.0067147
264,Ann Lake,Pope,45.7016917,-95.4428696
265,Ann Lake,Kanabec,45.9227359,-93.3707838
266,Ann Lake State Wildlife Management Area,Kanabec,45.9127363,-93.401341
267,Ann Mine,Itasca,47.3716031,-93.2088089
268,Ann River,Kanabec,45.8310711,-93.3338373
269,Lake Ann,Carver,44.8712249,-93.5598209
270,Lake Ann,Wright,45.0269077,-94.0477512
271,Lake Ann,Sherburne,45.4255388,-93.6887721
272,Lake Ann,Crow Wing,46.4629454,-93.8756634
273,Anna Lake,Otter Tail,46.3479249,-95.8586023
274,Lake Anna,Stearns,45.6103113,-94.4371024
275,Annalaide Lake Ditch,Otter Tail,46.1927406,-95.1853085
276,Annamahasung Creek,Carlton,46.6963346,-92.7035298
277,Annandale,Wright,45.2627428,-94.1244271
278,Annawaush Lake,Mahnomen,47.4142798,-95.7054199
279,Annexstad Lake,Nicollet,44.3880166,-94.0965723
280,Annie Battle Lake,Otter Tail,46.3276006,-95.6605145
281,Lake Annie,Otter Tail,46.5685217,-96.1682697
282,Annunciation Elementary and Middle School,Hennepin,44.9045909,-93.286915
283,Anoka,Anoka,45.1977428,-93.3871758
284,Anoka Church,Anoka,45.2096873,-93.3760645
285,Anoka - Ramsey Community College,Anoka,45.1729782,-93.351697
286,Antelope Hills,Lac qui Parle,44.8532967,-96.2831014
287,Antelope Hills Church,Yellow Medicine,44.8049633,-96.241155
288,Anthony Middle School,Hennepin,44.8982146,-93.2991278
289,Antl Bay,Le Sueur,44.2235757,-93.5982809
290,Antlers Park,Dakota,44.6630201,-93.2654988
291,Antlers Park,Dakota,44.6566312,-93.2635541
292,Antrim Cemetery,Watonwan,43.9055056,-94.4180135
293,Antrim-Saint John Cemetery,Watonwan,43.8630049,-94.4285703
294,Apollo High School,Stearns,45.5702429,-94.2105471
295,Apostolic Church,Hennepin,44.984964,-93.4199523
296,Apostolic Church,Stevens,45.4838504,-95.9017165
297,Apostolic Church,Cass,46.6638509,-94.4919464
298,Apostolic Church,Carlton,46.7207762,-92.3826908
299,Apple Lake,Becker,47.1485895,-96.0388935
300,Apple Lake,Beltrami,47.438879,-94.9953367
301,Apple Lake,Aitkin,46.4240028,-93.7486511
302,Apple Valley,Dakota,44.7319094,-93.21772
303,Appleton,Swift,45.1969058,-96.0197673
304,Appleton Cemetery,Swift,45.186096,-96.0229483
305,Aquatore Park,Anoka,45.1366321,-93.2380043
306,Aquila Park,Hennepin,44.9457975,-93.3868953
307,Aquila Elementary School,Hennepin,44.9475285,-93.3867186
308,Arago,Hubbard,47.0510704,-95.1616888
309,Arbor Lake,Crow Wing,46.423503,-93.8297333
310,Hill - Murray School,Ramsey,44.9933192,-92.9902408
311,Archie Lake,Otter Tail,46.56471,-95.7812373
312,Arco,Lincoln,44.3835765,-96.1836478
313,Arco Lake,Hubbard,47.1656207,-95.1681034
314,Arco Mine,Crow Wing,46.4880192,-94.0038744
315,Arden Hills,Ramsey,45.0502435,-93.1566112
316,Arden Hills School,Ramsey,45.0788547,-93.1516115
317,Arden Park,Hennepin,44.9074646,-93.3346708
318,Arendahl,Fillmore,43.8252415,-91.909598
319,Arendahl Cemetery,Fillmore,43.8246781,-91.8759785
320,Argonne,Dakota,44.6957977,-93.2857777
321,Argonne Mine,Itasca,47.3977129,-93.1351949
322,Argyle,Marshall,48.3327553,-96.8208949
323,Arken Lake,Otter Tail,46.136789,-95.5082242
